trust_ppl_99,proud_99,geograph_01_99,geograph_02_99,sex_99,year_of_birth_99,education_99,school_99,allow_work_99,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_mentally_ill,avoid_muslims,avoid_immigrants,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_gypsies,avoid_dont_care
most can be trusted,quite proud,own town,local region,female,76,NA,2,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,female,75,skilled education,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,dont know,female,77,NA,2,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,73,NA,2,limmit amount of foreigners in the country,checked,not checked,checked,checked,checked,not checked,not checked,checked,not checked,checked,checked,checked,not checked,checked,not checked
can't be too careful,very proud,own town,local region,female,77,NA,3,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,own town,local region,female,87,education - 3-4 years,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,local region,female,70,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,80,NA,2,limmit amount of foreigners in the country,checked,checked,not checked,checked,not checked,checked,not checked,checked,checked,checked,checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,74,NA,2,forbid foreigners to enter the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,74,NA,2,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,75,social- and health - 3-4 years,2,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,77,skilled education,2,allow as long as there is jobs for Danes,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,local region,male,35,technical - 2-3 years,14,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
undetermined,quite proud,own town,the whole world,male,33,NA,14,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,Europe,male,67,skilled education,2,allow as long as there is jobs for Danes,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,checked,not checked
most can be trusted,quite proud,own country,dont know,female,19,NA,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,female,25,education - 3-4 years,14,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,the whole world,own town,female,56,NA,8,allow as long as there is jobs for Danes,checked,not checked,checked,checked,checked,checked,not checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
