trust_ppl_81,proud_81,class_81,geograph_01_81,geograph_02_81,sex_81,year_of_birth_81,occupation_81,education_age_81,avoid_criminals,avoid_other_race,avoid_students,avoid_LW_extremists,avoid_unm_mothers,avoid_heavy_drinkers,avoid_RW_extremists,avoid_large_families,avoid_emotionally_unst,avoid_minority_sects,avoid_foreign_workers
most can be trusted,very proud,C1,own town,NA,female (housewife),28,farmers,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own town,Europe,male,30,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
can't be too careful,quite proud,C1,own country,own town,male,23,small buisnessowner,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C2,own country,local region,female (housewife),40,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own country,own town,female (housewife),26,jun. lvl. non-manual,20,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
undetermined,quite proud,C1,Europe,own town,male,42,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C2,the whole world,NA,male,7,semi-skilled manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own town,own country,male,46,small buisnessowner,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,C2,own country,local region,female (working),48,jun. lvl. non-manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,Europe,own town,male,45,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,Europe,own town,female (housewife),25,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C1,own town,local region,male,12,small buisnessowner,21 or over,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,own country,own town,male,47,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,Europe,own town,male,33,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,local region,female (housewife),23,small buisnessowner,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,AB,own country,local region,male,21,mdl. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,C1,the whole world,Europe,female (housewife),62,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,local region,female (housewife),60,unskilled manual,16,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,DE,own country,own town,male,56,unskilled manual,16,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,AB,own town,own country,female (working),27,mdl. lvl. non-manual,17,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,own country,Europe,male,49,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,own town,own country,female (working),46,jun. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,NA,NA,male,60,jun. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own country,local region,male,56,supervisor manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,Europe,NA,male,24,supervisor manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own country,own town,female (housewife),61,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,local region,own town,female (working),39,semi-skilled manual,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,DE,own town,NA,female (housewife),11,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own country,Europe,female (working),37,jun. lvl. non-manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,own country,NA,female (housewife),19,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own town,own country,female (housewife),7,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
can't be too careful,very proud,DE,local region,own country,male,19,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,AB,own country,local region,male,7,farmers,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C1,own town,own country,female (housewife),60,semi-skilled manual,16,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,local region,own country,female (working),40,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own town,own country,female (working),59,jun. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,AB,own country,NA,female (working),27,farmers,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C2,local region,own country,female (housewife),3,unskilled manual,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,local region,own country,male,19,semi-skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,C2,own country,own town,female (working),53,semi-skilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own town,own country,female (housewife),51,jun. lvl. non-manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,DE,own town,own country,female (housewife),8,unskilled manual,14,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,C2,own town,local region,female (housewife),26,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C1,own country,own town,female (housewife),28,NA,13,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked
most can be trusted,quite proud,C2,local region,own country,female (working),56,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,local region,NA,male,30,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own town,own country,female (working),17,jun. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,local region,own country,female (housewife),2,farmers,14,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,C1,own country,local region,female (housewife),19,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own town,own country,male,33,unskilled manual,20,checked,not checked,not checked,checked,not checked,checked,not checked,not checked,checked,checked,checked
can't be too careful,not at all proud,AB,own country,local region,female (working),46,farmers,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,DE,own town,own country,male,61,jun. lvl. non-manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,DE,own town,own country,male,10,unskilled manual,14,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
undetermined,quite proud,DE,own country,own town,male,40,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,DE,local region,own town,female (working),39,unskilled manual,16,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,AB,own town,own country,male,55,unskilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,local region,own country,female (housewife),12,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,DE,local region,own country,female (housewife),32,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C2,own town,own country,male,18,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,C2,own country,local region,female (housewife),44,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,DE,own country,local region,male,41,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own country,own town,male,51,prof. worker,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,not at all proud,AB,local region,own country,male,24,small buisnessowner,21 or over,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,C1,own country,Europe,male,58,armed forces,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C1,own town,own country,male,20,farmers,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C2,own town,local region,male,8,semi-skilled manual,18,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,C1,own town,the whole world,male,56,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,C2,own country,own town,female (working),47,jun. lvl. non-manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own country,own town,male,60,skilled manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,own town,own country,female (working),16,jun. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,DE,NA,NA,female (housewife),11,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,NA,female (working),42,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,"NA",C1,own country,own town,male,60,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,DE,own town,own country,male,41,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C2,own town,own country,female (housewife),45,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,C1,own town,own country,female (housewife),29,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,C2,local region,own town,female (working),47,unskilled manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,NA,NA,female (housewife),44,skilled manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,the whole world,male,57,small buisnessowner,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,local region,own country,male,56,semi-skilled manual,15,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked
most can be trusted,not very proud,DE,local region,own country,female (housewife),9,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not at all proud,C1,local region,own town,female (working),26,semi-skilled manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own country,own town,male,32,skilled manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,C1,own country,the whole world,male,49,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own country,Europe,male,34,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,the whole world,own country,female (working),52,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,local region,female (working),40,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own town,own country,female (working),32,unskilled manual,13,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked
undetermined,not very proud,AB,NA,NA,female (working),56,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own town,NA,female (housewife),45,unskilled manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own country,NA,male,21,small buisnessowner,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
