trust_ppl_90,proud_90,geograph_01_90,geograph_02_90,sex_90,year_of_birth_90,occupation_90,education_90,school_90,allow_work_90,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_foreign_workers,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_hindu,avoid_dont_care
most can be trusted,quite proud,local region,own country,male,35,functionary with education,skilled education,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,own town,own country,male,35,functionary without education,NA,7th grade or less,dont know,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,male,35,small buisnessowner,NA,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,35,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,35,leading functionary,NA,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,dont know,male,36,specialworker,special-worker-course,7th grade or less,not allowed,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,36,functionary with education,short buisness or computer science,real- girl- and preliminary examn,not allowed,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,local region,male,36,leading functionary,skilled education,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,not danish,own town,the whole world,male,37,self-supporting akademic,skilled education,other,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,local region,Europe,male,37,non-skilled,skilled education,middleschool examn,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,37,non-skilled,NA,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,37,skilled,skilled education,7th grade or less,either or,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,male,38,small buisnessowner,skilled education,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,local region,own country,male,38,functionary with education,skilled education,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,38,small buisnessowner,skilled education,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,dont know,male,38,skilled,skilled education,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,own country,own town,male,38,functionary with education,skilled education,10th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,checked,checked,checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own country,male,38,functionary with education,FE technical,technical examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,Europe,male,38,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,own country,male,38,small buisnessowner,skilled education,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
